plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
1,4,0+60,3,0,60
2,3,0+0,1,0,0
3,3,100+60,6,100,60
4,4,200+30,8,200,30
5,1,100+0,4,100,0
6,2,200+0,7,200,0
7,1,200+30,8,200,30
8,3,200+60,9,200,60
9,3,0+30,2,0,30
10,2,0+30,2,0,30
11,1,0+0,1,0,0
12,4,100+30,5,100,30
13,1,0+30,2,0,30
14,2,200+60,9,200,60
15,1,100+60,6,100,60
16,2,100+0,4,100,0
17,2,200+30,8,200,30
18,4,200+60,9,200,60
19,2,100+30,5,100,30
20,3,200+30,8,200,30
21,2,100+60,6,100,60
22,2,0+60,3,0,60
23,1,0+60,3,0,60
24,2,0+0,1,0,0
25,1,200+0,7,200,0
26,3,0+60,3,0,60
27,4,0+30,2,0,30
28,4,0+0,1,0,0
29,3,100+0,4,100,0
30,4,100+0,4,100,0
31,1,100+30,5,100,30
32,4,200+0,7,200,0
33,1,200+60,9,200,60
34,3,200+0,7,200,0
35,3,100+30,5,100,30
36,4,100+60,6,100,60
