plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,200+60,9,200,60
102,1,200+30,8,200,30
103,1,0+30,2,0,30
104,1,0+60,3,0,60
105,1,200+0,7,200,0
106,1,100+0,4,100,0
107,1,0+0,1,0,0
108,1,100+30,5,100,30
109,1,100+60,6,100,60
201,2,200+0,7,200,0
202,2,100+60,6,100,60
203,2,0+30,2,0,30
204,2,200+30,8,200,30
205,2,0+0,1,0,0
206,2,200+60,9,200,60
207,2,100+30,5,100,30
208,2,0+60,3,0,60
209,2,100+0,4,100,0
301,3,100+60,6,100,60
302,3,200+60,9,200,60
303,3,0+30,2,0,30
304,3,200+30,8,200,30
305,3,0+0,1,0,0
306,3,200+0,7,200,0
307,3,0+60,3,0,60
308,3,100+30,5,100,30
309,3,100+0,4,100,0
401,4,200+60,9,200,60
402,4,0+60,3,0,60
403,4,200+30,8,200,30
404,4,0+0,1,0,0
405,4,0+30,2,0,30
406,4,100+30,5,100,30
407,4,200+0,7,200,0
408,4,100+60,6,100,60
409,4,100+0,4,100,0
